Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,4.217576,4.218897,4.183475,4.217576,4.217576,0
2023-04-21,4.190350,4.210710,4.186087,4.190350,4.190350,0
2023-04-24,4.195860,4.202470,4.163936,4.195860,4.195860,0
2023-04-25,4.157100,4.188668,4.152744,4.157100,4.157100,0
2023-04-26,4.182555,4.190410,4.125881,4.182555,4.182555,0
2023-04-27,4.147700,4.172330,4.138060,4.147700,4.147700,0
2023-04-28,4.146545,4.179750,4.141112,4.146545,4.146545,0
2023-05-01,4.168060,4.198610,4.160660,4.168060,4.168060,0
2023-05-02,4.196892,4.196873,4.160479,4.196892,4.196892,0
2023-05-03,4.156695,4.158738,4.138400,4.156695,4.156695,0
2023-05-04,4.145050,4.170643,4.131158,4.145050,4.145050,0
2023-05-05,4.160308,4.172070,4.144233,4.160308,4.160308,0
2023-05-08,4.148080,4.149669,4.128500,4.148080,4.148080,0
2023-05-09,4.147157,4.175754,4.142720,4.147157,4.147157,0
2023-05-10,4.149600,4.158101,4.105867,4.149600,4.149600,0
2023-05-11,4.112223,4.163270,4.104814,4.112223,4.112223,0
2023-05-12,4.158897,4.168140,4.143451,4.158897,4.158897,0
2023-05-15,4.160030,4.163934,4.136419,4.160030,4.160030,0
2023-05-16,4.140236,4.148700,4.111600,4.140236,4.140236,0
2023-05-17,4.132517,4.179110,4.124800,4.132517,4.132517,0
2023-05-18,4.170128,4.228736,4.162327,4.170128,4.170128,0
2023-05-19,4.216500,4.224660,4.171920,4.216500,4.216500,0
2023-05-22,4.197940,4.199861,4.157886,4.197940,4.197940,0
2023-05-23,4.162666,4.183420,4.155300,4.162666,4.162666,0
2023-05-24,4.166526,4.189990,4.149664,4.166526,4.166526,0
2023-05-25,4.190091,4.212448,4.188819,4.190091,4.190091,0
2023-05-26,4.197186,4.233088,4.186400,4.197186,4.197186,0
2023-05-29,4.221702,4.226650,4.199480,4.221702,4.221702,0
2023-05-30,4.216100,4.234140,4.206259,4.216100,4.216100,0
2023-05-31,4.226147,4.259291,4.222219,4.226147,4.226147,0
2023-06-01,4.232194,4.252280,4.198224,4.232194,4.232194,0
2023-06-02,4.194700,4.199050,4.168767,4.194700,4.194700,0
2023-06-05,4.198956,4.204600,4.168840,4.198956,4.198956,0
2023-06-06,4.175600,4.206425,4.165600,4.175600,4.175600,0
2023-06-07,4.179700,4.200750,4.161703,4.179700,4.179700,0
2023-06-08,4.190310,4.200350,4.151500,4.190310,4.190310,0
2023-06-09,4.144180,4.154950,4.120582,4.144180,4.144180,0
2023-06-12,4.131740,4.138299,4.106224,4.131740,4.131740,0
2023-06-13,4.131548,4.160558,4.116740,4.131548,4.131548,0
2023-06-14,4.156945,4.165380,4.091800,4.156945,4.156945,0
